Geothite_avg - Data, Corrected, Resampled on common wavenumber scale

nushift=     -3.10000  cm-1
FWHM_resolution:      10.0000  cm-1
H2O_Vol_mixing_ratio:   0.00790000

     Wvnmbr     Wvl(um)    SpecData    H2O_Model    NulledSpec     IG_Nulled     Ratio
    2740.000   3.64964    2.1172e-04    1.0000e+00    2.1172e-04    5.4872e-03    3.8585e-02
    2741.000   3.64830    2.1231e-04    1.0000e+00    2.1231e-04    5.4906e-03    3.8667e-02
    2742.000   3.64697    2.1482e-04    1.0000e+00    2.1482e-04    5.4957e-03    3.9089e-02
    2743.000   3.64564    2.1618e-04    1.0000e+00    2.1618e-04    5.4990e-03    3.9313e-02
    2744.000   3.64431    2.1754e-04    1.0000e+00    2.1754e-04    5.5011e-03    3.9544e-02
    2745.000   3.64299    2.1732e-04    1.0000e+00    2.1732e-04    5.5033e-03    3.9489e-02
    2746.000   3.64166    2.1547e-04    1.0000e+00    2.1547e-04    5.5037e-03    3.9150e-02
    2747.000   3.64033    2.1413e-04    1.0000e+00    2.1413e-04    5.5077e-03    3.8878e-02
    2748.000   3.63901    2.1277e-04    1.0000e+00    2.1277e-04    5.5130e-03    3.8595e-02
    2749.000   3.63769    2.1166e-04    1.0000e+00    2.1166e-04    5.5219e-03    3.8332e-02
    2750.000   3.63636    2.1081e-04    1.0000e+00    2.1081e-04    5.5281e-03    3.8134e-02
    2751.000   3.63504    2.0966e-04    1.0000e+00    2.0966e-04    5.5341e-03    3.7885e-02
    2752.000   3.63372    2.0943e-04    1.0000e+00    2.0943e-04    5.5382e-03    3.7815e-02
    2753.000   3.63240    2.1001e-04    1.0000e+00    2.1001e-04    5.5401e-03    3.7907e-02
    2754.000   3.63108    2.1002e-04    1.0000e+00    2.1002e-04    5.5436e-03    3.7886e-02
    2755.000   3.62976    2.1046e-04    1.0000e+00    2.1046e-04    5.5471e-03    3.7941e-02
    2756.000   3.62845    2.1079e-04    1.0000e+00    2.1079e-04    5.5517e-03    3.7968e-02
    2757.000   3.62713    2.1197e-04    1.0000e+00    2.1197e-04    5.5549e-03    3.8159e-02
    2758.000   3.62582    2.1424e-04    1.0000e+00    2.1424e-04    5.5570e-03    3.8554e-02
    2759.000   3.62450    2.1451e-04    1.0000e+00    2.1451e-04    5.5593e-03    3.8585e-02
    2760.000   3.62319    2.1483e-04    1.0000e+00    2.1483e-04    5.5627e-03    3.8619e-02
