Sample point	wavelength
1	3.833283153
2	3.825837516
3	3.818500093
4	3.811263492
5	3.804121134
6	3.797067089
7	3.790095994
8	3.783202988
9	3.77638365
10	3.769634771
11	3.76295239
12	3.756332708
13	3.749772608
14	3.743269223
15	3.736821529
16	3.730425835
17	3.724079542
18	3.717781731
19	3.711530331
20	3.705322464
21	3.699158308
22	3.693034931
23	3.686951174
24	3.680906443
25	3.674898051
26	3.668926795
27	3.662989282
28	3.657086907
29	3.65121626
30	3.645378667
31	3.639571281
32	3.6337948
33	3.628047431
34	3.622328764
35	3.616638477
36	3.61097479
37	3.605338786
38	3.599728359
39	3.59414325
40	3.58858377
41	3.583048207
42	3.577536578
43	3.572048919
44	3.566583843
45	3.561141113
46	3.555721267
47	3.550322825
48	3.544945445
49	3.539589388
50	3.534254171
51	3.528939009
52	3.523643608
53	3.518368141
54	3.513112276
55	3.507875304
56	3.502656972
57	3.497457032
58	3.492275802
59	3.487112623
60	3.481967109
61	3.476839047
62	3.471728227
63	3.466634448
64	3.461557998
65	3.456498224
66	3.451454892
67	3.446427827
68	3.441416855
69	3.436421809
70	3.431442527
71	3.426478851
72	3.421530812
73	3.416598188
74	3.411680697
75	3.406778198
76	3.401890554
77	3.397017632
78	3.3921593
79	3.387315433
80	3.382485906
81	3.377670598
82	3.372869392
83	3.368082172
84	3.363308826
85	3.358549245
86	3.35380332
87	3.349070947
88	3.344352023
89	3.339646448
90	3.334954124
91	3.330274953
92	3.325608842
93	3.320955698
94	3.316315431
95	3.311687952
96	3.307073173
97	3.302471009
98	3.297881376
99	3.293304191
100	3.288739374
101	3.284186843
102	3.279646522
103	3.275118513
104	3.270602681
105	3.266098846
106	3.261606936
107	3.257126877
108	3.252658598
109	3.248202029
110	3.2437571
111	3.239323742
112	3.234902067
113	3.230492099
114	3.226093518
115	3.221706259
116	3.217330258
117	3.212965451
118	3.208611775
119	3.204269515
120	3.199938474
121	3.195618396
122	3.191309219
123	3.187010885
124	3.182723333
125	3.178447131
126	3.174181623
127	3.169926739
128	3.165682421
129	3.161448625
130	3.157225987
131	3.153013762
132	3.148811896
133	3.144620334
134	3.140439428
135	3.1362691
136	3.132108929
137	3.127958861
138	3.123819164
139	3.119689995
140	3.115570785
141	3.111461482
142	3.107362503
143	3.103273772
144	3.099194808
145	3.095125561
146	3.091066824
147	3.087017829
148	3.082978414
149	3.078948961
150	3.074929571
151	3.070919625
152	3.066919219
153	3.062929075
154	3.058948241
155	3.054976668
156	3.051015397
157	3.047063323
158	3.043120377
159	3.039187607
160	3.035263943
161	3.0313493
162	3.027444783
163	3.023549183
164	3.01966268
165	3.015786013
166	3.011918134
167	3.008059553
168	3.004210395
169	3.000369897
170	2.996539021
171	2.992717033
172	2.988903798
173	2.985100191
174	2.981305035
175	2.97751916
176	2.973742176
177	2.969973732
178	2.96621479
179	2.962464094
180	2.958722669
181	2.954989808
182	2.951265605
183	2.94755045
184	2.94384339
185	2.940145815
186	2.9364562
187	2.932775695
188	2.929103452
189	2.925439884
190	2.921784886
191	2.918138177
192	2.914500296
193	2.910870368
194	2.907249477
195	2.903636252
196	2.900032223
197	2.896435714
198	2.89284833
199	2.889268477
200	2.885697593
201	2.882134268
202	2.878579805
203	2.875032881
204	2.871494764
205	2.867964113
206	2.864442262
207	2.860927757
208	2.857422096
209	2.853923622
210	2.850434059
211	2.846951669
212	2.843477946
213	2.840011562
214	2.836553551
215	2.833103095
216	2.829660668
217	2.826226063
218	2.82279909
219	2.819380259
220	2.815968612
221	2.812565475
222	2.809169343
223	2.805781506
224	2.802400962
225	2.799028143
226	2.79566311
227	2.792305177
228	2.788955576
229	2.785612882
230	2.782278155
231	2.778950785
232	2.775630635
233	2.772318512
234	2.769013227
235	2.765715852
236	2.762425706
237	2.759142596
238	2.755867509
239	2.75259919
240	2.749338426
241	2.746085058
242	2.742838419
243	2.739599748
244	2.736367951
245	2.733143048
246	2.729926013
247	2.726715637
248	2.723512393
249	2.72031667
250	2.717127565
251	2.713945726
252	2.710771163
253	2.707603179
254	2.70444249
255	2.701288938
256	2.698141923
257	2.695002129
258	2.691869436
259	2.688743238
260	2.685624082
261	2.682512095
262	2.679406563
263	2.676307788
264	2.673216354
265	2.670131334
266	2.667052716
267	2.663981647
268	2.660916986
269	2.657858685
270	2.654807407
271	2.65176295
272	2.648724811
273	2.645693064
274	2.642668656
275	2.639650524
276	2.636638659
277	2.63363353
278	2.63063525
279	2.627643195
280	2.624657352
281	2.621678413
282	2.61870601
283	2.615739777
284	2.612779703
285	2.609826526
286	2.606879746
287	2.603939082
288	2.601004523
289	2.598076674
290	2.595155263
291	2.592239913
292	2.589330613
293	2.586427659
294	2.583531358
295	2.580641065
296	2.577756768
297	2.574878455
298	2.572006824
299	2.56914133
300	2.566281776
301	2.563428152
302	2.560580445
303	2.55773949
304	2.55490442
305	2.552075223
306	2.549251889
307	2.546434405
308	2.543623472
309	2.540818443
310	2.538019219
311	2.53522579
312	2.532438143
313	2.529656576
314	2.526881199
315	2.524111561
316	2.521347649
317	2.518589451
318	2.515836956
319	2.513090475
320	2.510350032
321	2.507615246
322	2.504886106
323	2.5021626
324	2.499444716
325	2.496732441
326	2.494026347
327	2.491325872
328	2.488630961
329	2.485941602
330	2.483257784
331	2.480579494
332	2.47790672
333	2.475239782
334	2.472578552
335	2.469922792
336	2.467272491
337	2.464627636
338	2.461988214
339	2.459354214
340	2.456725623
341	2.454102478
342	2.451485141
343	2.448873166
344	2.446266542
345	2.443665257
346	2.441069298
347	2.438478652
348	2.435893308
349	2.433313252
350	2.430738472
351	2.428168957
352	2.425604953
353	2.423046295
354	2.420492854
355	2.417944618
356	2.415401575
357	2.41286371
358	2.410331013
359	2.407803471
360	2.40528107
361	2.402763799
362	2.400251644
363	2.397744593
364	2.395242633
365	2.392745752
366	2.390253945
367	2.387767417
368	2.38528592
369	2.382809442
370	2.38033797
371	2.377871491
372	2.375409992
373	2.372953461
374	2.370501884
375	2.36805525
376	2.365613544
377	2.363176754
378	2.360744867
379	2.358317871
380	2.355895753
381	2.353478499
382	2.351066096
383	2.348658533
384	2.346255795
385	2.34385787
386	2.341464745
387	2.339076407
388	2.336692842
389	2.334314039
390	2.331939983
391	2.329570662
392	2.327206063
393	2.324846173
394	2.322490978
395	2.320140466
396	2.317794623
397	2.315453436
398	2.313116893
399	2.310784979
400	2.308457683
401	2.30613499
402	2.303816887
403	2.301503362
404	2.299194401
405	2.296889991
406	2.294590118
407	2.29229477
408	2.290003933
409	2.287717594
410	2.285435739
411	2.283158356
412	2.28088543
413	2.278616949
414	2.2763529
415	2.274093268
416	2.271838041
417	2.269587205
418	2.26734094
419	2.265099102
420	2.262861624
421	2.260628493
422	2.258399696
423	2.25617522
424	2.25395505
425	2.251739174
426	2.249527578
427	2.247320248
428	2.245117171
429	2.242918334
430	2.240723723
431	2.238533324
432	2.236347124
433	2.234165184
434	2.231987735
435	2.229814455
436	2.227645328
437	2.225480342
438	2.223319483
439	2.221162737
440	2.219010091
441	2.216861532
442	2.214717045
443	2.212576616
444	2.210440233
445	2.208308307
446	2.206180479
447	2.204056665
448	2.20193685
449	2.199821022
450	2.197709167
451	2.19560127
452	2.193497318
453	2.191397298
454	2.18930145
455	2.187209839
456	2.185122129
457	2.183038304
458	2.180958351
459	2.178882257
460	2.176810007
461	2.174741587
462	2.1726771
463	2.170616962
464	2.168560623
465	2.166508068
466	2.164459285
467	2.162414258
468	2.160372975
469	2.158335422
470	2.156302101
471	2.154272699
472	2.152246995
473	2.150224973
474	2.148206621
475	2.146191925
476	2.14418087
477	2.142174108
478	2.140171093
479	2.138171687
480	2.136175876
481	2.134183646
482	2.132194983
483	2.130210243
484	2.128229526
485	2.126252343
486	2.124278682
487	2.122308527
488	2.120341864
489	2.118379045
490	2.116420233
491	2.114464881
492	2.112512975
493	2.110564501
494	2.108619444
495	2.106678444
496	2.104741143
497	2.102807227
498	2.100876682
499	2.098949493
500	2.097025875
501	2.095106365
502	2.093190178
503	2.091277302
504	2.089367721
505	2.087461421
506	2.085559438
507	2.08366072
508	2.081765251
509	2.079873016
510	2.077984001
511	2.076099252
512	2.074217741
513	2.072339418
514	2.070464267
515	2.0685924
516	2.066724693
517	2.064860126
518	2.062998685
519	2.061140355
520	2.059285606
521	2.057434641
522	2.055586755
523	2.053741933
524	2.05190016
525	2.050062462
526	2.048227977
527	2.046396507
528	2.044568039
529	2.042743086
530	2.040921846
531	2.039103574
532	2.037288256
533	2.035476009
534	2.033667858
535	2.031862628
536	2.030060304
537	2.028260872
538	2.026465509
539	2.024673164
540	2.022883678
541	2.021097036
542	2.019314292
543	2.017534676
544	2.015757871
545	2.013983862
546	2.012213699
547	2.010446656
548	2.008682375
549	2.006920842
550	2.005163221
551	2.003408594
552	2.00165668
553	1.999907467
554	1.99816235
555	1.99641998
556	1.994680276
557	1.992943474
558	1.991210573
559	1.989480303
560	1.987752652
561	1.98602829
562	1.984307379
563	1.982589051
564	1.980873293
565	1.979161333
566	1.977452254
567	1.975745711
568	1.974041997
569	1.97234209
570	1.970644685
571	1.968949766
572	1.96725839
573	1.965570047
574	1.963884156
575	1.962200983
576	1.960521625
577	1.958844686
578	1.957170151
579	1.95549925
580	1.953831186
581	1.952165491
582	1.950502751
583	1.948843485
584	1.947186554
585	1.945531957
586	1.943881412
587	1.942233168
588	1.940587211
589	1.938944795
590	1.937305162
591	1.935667781
592	1.934033464
593	1.932402364
594	1.930773481
595	1.929147247
596	1.927524602
597	1.925904141
598	1.924285971
599	1.922671704
600	1.921059587
601	1.919449604
602	1.917843499
603	1.916239648
604	1.914637897
605	1.913039813
606	1.91144415
607	1.909850554
608	1.908260473
609	1.906672922
610	1.905087402
611	1.903505307
612	1.901925789
613	1.900348268
614	1.898774141
615	1.897202579
616	1.895632978
617	1.894066802
618	1.892503117
619	1.890941359
620	1.889383116
621	1.88782723
622	1.886273237
623	1.884722909
624	1.883174744
625	1.881628438
626	1.880086007
627	1.878545485
628	1.877006997
629	1.875472236
630	1.873939279
631	1.872408662
632	1.870881421
633	1.869355949
634	1.867833186
635	1.866313387
636	1.864795323
637	1.863280394
638	1.861767959
639	1.860257223
640	1.858750113
641	1.857244963
642	1.855741754
643	1.854242166
644	1.852744221
645	1.851248804
646	1.849756377
647	1.848265559
648	1.846777915
649	1.845292571
650	1.843808807
651	1.842328912
652	1.840850572
653	1.839374554
654	1.837901619
655	1.836430203
656	1.834961914
657	1.833495859
658	1.832031428
659	1.83057071
660	1.829111456
661	1.827654726
662	1.826200765
663	1.824748233
664	1.823299186
665	1.821851902
666	1.820406691
667	1.818964631
668	1.817523945
669	1.81608639
670	1.814650884
671	1.813217151
672	1.8117868
673	1.810357767
674	1.808931663
675	1.807507741
676	1.806085445
677	1.80466661
678	1.803249037
679	1.801834344
680	1.800421813
681	1.799010914
682	1.7976034
683	1.796197094
684	1.794793771
685	1.793392437
686	1.791992894
687	1.790596509
688	1.789201275
689	1.787809281
690	1.786418951
691	1.785030724
692	1.783645272
693	1.782260917
694	1.780880211
695	1.77950069
696	1.778123737
697	1.776749025
698	1.775375822
699	1.774005895
700	1.772636988
701	1.771271269
702	1.769907102
703	1.768545118
704	1.767185667
705	1.765827414
706	1.764472652
707	1.763118835
708	1.76176803
709	1.760418858
710	1.75907177
711	1.757727219
712	1.756383844
713	1.755043889
714	1.753704801
715	1.752368837
716	1.751034301
717	1.749702036
718	1.748372025
719	1.747043454
720	1.745717944
721	1.744393226
722	1.74307203
723	1.741751767
724	1.740434252
725	1.73911842
726	1.737804581
727	1.736493155
728	1.735182987
729	1.733875943
730	1.732569593
731	1.731266753
732	1.729964739
733	1.728665557
734	1.727367854
735	1.726072325
736	1.724778908
737	1.723487027
738	1.722197871
739	1.720909633
740	1.719624713
741	1.718340369
742	1.717059405
743	1.715779252
744	1.714501918
745	1.71322593
746	1.711952221
747	1.710680374
748	1.709410286
749	1.708142553
750	1.706876081
751	1.705612439
752	1.704349578
753	1.703090001
754	1.701830861
755	1.700575209
756	1.699320089
757	1.698068034
758	1.696816909
759	1.695568446
760	1.69432129
761	1.693076416
762	1.691833203
763	1.690591913
764	1.689352618
765	1.688114907
766	1.686879506
767	1.685645369
768	1.684413836
769	1.683183268
770	1.681955579
771	1.680728576
772	1.679504704
773	1.678281261
774	1.677061182
775	1.675841319
776	1.674624982
777	1.673408866
778	1.672196076
779	1.67098368
780	1.669774432
781	1.668565732
782	1.667360021
783	1.666154992
784	1.664952813
785	1.663751428
786	1.662552777
787	1.661355013
788	1.660159884
789	1.658965714
790	1.657774104
791	1.656583503
792	1.655395406
793	1.654208348
794	1.653023761
795	1.651840221
796	1.650659138
797	1.649479091
798	1.648301507
799	1.647124927
800	1.645950838
801	1.6447777
802	1.643607101
803	1.64243738
804	1.641270266
805	1.640103935
806	1.638940303
807	1.637777337
808	1.63661718
809	1.635457555
810	1.634300869
811	1.633144557
812	1.631991339
813	1.630838316
814	1.629688559
815	1.628538802
816	1.627392499
817	1.6262462
818	1.62510313
819	1.623960283
820	1.62282042
821	1.621681021
822	1.620544339
823	1.619408383
824	1.618274858
825	1.61714234
826	1.616011945
827	1.614882861
828	1.61375557
829	1.612629915
830	1.611505703
831	1.610383473
832	1.609262314
833	1.608143503
834	1.607025372
835	1.605909976
836	1.604794846
837	1.60368286
838	1.602570874
839	1.601462126
840	1.600353545
841	1.599247743
842	1.598142563
843	1.59703968
844	1.595937896
845	1.594837907
846	1.593739514
847	1.592642393
848	1.591547387
849	1.590453109
850	1.589361484
851	1.588270022
852	1.587181775
853	1.586093527
854	1.585008228
855	1.583923353
856	1.582840814
857	1.581759306
858	1.580679502
859	1.579601357
860	1.578524261
861	1.577449473
862	1.57637506
863	1.575303626
864	1.574232192
865	1.573163784
866	1.572095698
867	1.571029916
868	1.569965174
869	1.568901992
870	1.567840589
871	1.56677998
872	1.565721912
873	1.564663852
874	1.563609112
875	1.562554373
876	1.56150216
877	1.560450745
878	1.559401023
879	1.558352928
880	1.557305672
881	1.556260892
882	1.555216112
883	1.554174605
884	1.553133136
885	1.552094038
886	1.551055874
887	1.550019158
888	1.548984295
889	1.547949936
890	1.546918369
891	1.545886802
892	1.544858064
893	1.543829788
894	1.54280335
895	1.54177836
896	1.540754195
897	1.539732488
898	1.53871078
899	1.537692139
900	1.536673709
901	1.535657284
902	1.534642125
903	1.533627891
904	1.532616
905	1.531604109
906	1.5305953
907	1.529586672
908	1.528579997
909	1.527574626
910	1.526570057
911	1.525567939
912	1.524565822
913	1.523566582
914	1.522567712
915	1.521570522
916	1.520574896
917	1.519579728
918	1.518587341
919	1.517594953
920	1.516605017
921	1.515615863
922	1.514627892
923	1.513641967
924	1.512656043
925	1.511673236
926	1.510690535
927	1.509709637
928	1.508730155
929	1.507751139
930	1.506774873
931	1.505798606
932	1.504824655
933	1.503851598
934	1.502879472
